"","dataset","imputation_method","model","metric","metric_value"
"347","openml_dataset_1018","random","classif.ranger","auc",0.898756096224451
"348","openml_dataset_1018","random","classif.ranger","f1",0.967836257309942
"349","openml_dataset_1018","random","classif.xgboost","auc",0.883881308564853
"350","openml_dataset_1018","random","classif.xgboost","f1",0.967343336275375
"351","openml_dataset_1590","random","classif.rpart","auc",0.852771502252583
"352","openml_dataset_1590","random","classif.rpart","f1",0.634281399446262
"353","openml_dataset_1590","random","classif.glmnet","auc",0.903546902287354
"354","openml_dataset_1590","random","classif.glmnet","f1",0.639720558882236
"355","openml_dataset_1590","random","classif.kknn","auc",0.850840762537985
"356","openml_dataset_1590","random","classif.kknn","f1",0.598486585645494
"357","openml_dataset_1590","random","classif.ranger","auc",0.918439422153615
"358","openml_dataset_1590","random","classif.ranger","f1",0.681651600293183
"359","openml_dataset_1590","random","classif.xgboost","auc",0.88070793653132
"360","openml_dataset_1590","random","classif.xgboost","f1",0.638738039824153
"361","openml_dataset_188","random","classif.rpart","auc",0.927329694764504
"362","openml_dataset_188","random","classif.rpart","f1",0.795918367346939
"363","openml_dataset_188","random","classif.glmnet","auc",0.963816454416818
"364","openml_dataset_188","random","classif.glmnet","f1",0.826923076923077
"365","openml_dataset_188","random","classif.kknn","auc",0.908732565191025
"366","openml_dataset_188","random","classif.kknn","f1",0.815533980582524
"367","openml_dataset_188","random","classif.ranger","auc",0.957954315746917
"368","openml_dataset_188","random","classif.ranger","f1",0.788461538461538
"369","openml_dataset_188","random","classif.xgboost","auc",0.927228623408126
"370","openml_dataset_188","random","classif.xgboost","f1",0.737864077669903
"371","openml_dataset_23381","random","classif.rpart","auc",0.553819444444444
"372","openml_dataset_23381","random","classif.rpart","f1",0.258064516129032
"373","openml_dataset_23381","random","classif.glmnet","auc",0.538194444444444
"374","openml_dataset_23381","random","classif.glmnet","f1",0.375
"375","openml_dataset_23381","random","classif.kknn","auc",0.489366319444444
"376","openml_dataset_23381","random","classif.kknn","f1",0.358208955223881
"377","openml_dataset_23381","random","classif.ranger","auc",0.519097222222222
"378","openml_dataset_23381","random","classif.ranger","f1",0.262295081967213
"379","openml_dataset_23381","random","classif.xgboost","auc",0.554036458333333
"380","openml_dataset_23381","random","classif.xgboost","f1",0.382352941176471
"381","openml_dataset_27","random","classif.rpart","auc",0.865909090909091
"382","openml_dataset_27","random","classif.rpart","f1",0.898876404494382
"383","openml_dataset_27","random","classif.glmnet","auc",0.893560606060606
"384","openml_dataset_27","random","classif.glmnet","f1",0.86046511627907
"385","openml_dataset_27","random","classif.kknn","auc",0.839393939393939
"386","openml_dataset_27","random","classif.kknn","f1",0.837209302325581
"387","openml_dataset_27","random","classif.ranger","auc",0.921969696969697
"388","openml_dataset_27","random","classif.ranger","f1",0.869565217391304
"389","openml_dataset_27","random","classif.xgboost","auc",0.8625
"390","openml_dataset_27","random","classif.xgboost","f1",0.898876404494382
"391","openml_dataset_29","random","classif.rpart","auc",0.918376068376068
"392","openml_dataset_29","random","classif.rpart","f1",0.849557522123894
"393","openml_dataset_29","random","classif.glmnet","auc",0.909188034188034
"394","openml_dataset_29","random","classif.glmnet","f1",0.861788617886179
"395","openml_dataset_29","random","classif.kknn","auc",0.886217948717949
"396","openml_dataset_29","random","classif.kknn","f1",0.786324786324786
"397","openml_dataset_29","random","classif.ranger","auc",0.963034188034188
"398","openml_dataset_29","random","classif.ranger","f1",0.864864864864865
"399","openml_dataset_29","random","classif.xgboost","auc",0.933653846153846
"400","openml_dataset_29","random","classif.xgboost","f1",0.811320754716981
"401","openml_dataset_38","random","classif.rpart","auc",0.968231194916991
"402","openml_dataset_38","random","classif.rpart","f1",0.871794871794872
"403","openml_dataset_38","random","classif.glmnet","auc",0.937657990025278
"404","openml_dataset_38","random","classif.glmnet","f1",0.421052631578947
"405","openml_dataset_38","random","classif.kknn","auc",0.9230887476942
"406","openml_dataset_38","random","classif.kknn","f1",0.516129032258065
"407","openml_dataset_38","random","classif.ranger","auc",0.997540479606477
"408","openml_dataset_38","random","classif.ranger","f1",0.886075949367089
"409","openml_dataset_38","random","classif.xgboost","auc",0.987958598073376
"410","openml_dataset_38","random","classif.xgboost","f1",0.795180722891566
